Reference:,,,,,,https://docs.okd.io/latest/rest_api/apis-apps/v1.Deployment.html

Field,,,,,,,,,,,Use,Reserve,Reserve,Type,Description
,,,,,diskURI,,,,,,,,,string, The URI the data disk in the blob storage
,,,,,fsType,,,,,,,,,string, Filesystem type to mount. Must be a filesystem type supported by the host operating system. Ex. &quot;ext4&quot;�C &quot;xfs&quot;�C &quot;ntfs&quot;. Implicitly inferred to be &quot;ext4&quot; if unspecified.
,,,,,kind,,,,,,,,,string, Expected values Shared: multiple blob disks per storage account  Dedicated: single blob disk per storage account  Managed: azure managed data disk (only in managed availability set). defaults to shared
,,,,,readOnly,,,,,,,,,boolean, Defaults to false (read/write). ReadOnly here will force the ReadOnly setting in VolumeMounts.
,,,,azureFile,,,,,,,,,,v1.AzureFileVolumeSource, AzureFile represents an Azure File Service mount on the host and bind mount to the pod.
,,,,,readOnly,,,,,,,,,boolean, Defaults to false (read/write). ReadOnly here will force the ReadOnly setting in VolumeMounts.
,,,,,secretName,,,,,,,,,string, the name of secret that contains Azure Storage Account Name and Key
,,,,,shareName,,,,,,,,,string, Share Name
,,,,cephfs,,,,,,,,,,v1.CephFSVolumeSource, CephFS represents a Ceph FS mount on the host that shares a pod&apos;s lifetime
,,,,,monitors,,,,,,,,,array, Required: Monitors is a collection of Ceph monitors More info: https://releases.k8s.io/HEAD/examples/volumes/cephfs/README.md#how-to-use-it
,,,,,,[string],,,,,,,,string, 
,,,,,path,,,,,,,,,string, Optional: Used as the mounted root�C rather than the full Ceph tree�C default is /
,,,,,readOnly,,,,,,,,,boolean, Optional: Defaults to false (read/write). ReadOnly here will force the ReadOnly setting in VolumeMounts. More info: https://releases.k8s.io/HEAD/examples/volumes/cephfs/README.md#how-to-use-it
,,,,,secretFile,,,,,,,,,string, Optional: SecretFile is the path to key ring for User�C default is /etc/ceph/user.secret More info: https://releases.k8s.io/HEAD/examples/volumes/cephfs/README.md#how-to-use-it
,,,,,secretRef,,,,,,,,,v1.LocalObjectReference, Optional: SecretRef is reference to the authentication secret for User�C default is empty. More info: https://releases.k8s.io/HEAD/examples/volumes/cephfs/README.md#how-to-use-it
,,,,,,name,,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,,,,,user,,,,,,,,,string, Optional: User is the rados user name�C default is admin More info: https://releases.k8s.io/HEAD/examples/volumes/cephfs/README.md#how-to-use-it
,,,,cinder,,,,,,,,,,v1.CinderVolumeSource, Cinder represents a cinder volume attached and mounted on kubelets host machine More info: https://releases.k8s.io/HEAD/examples/mysql-cinder-pd/README.md
,,,,,fsType,,,,,,,,,string, Filesystem type to mount. Must be a filesystem type supported by the host operating system. Examples: &quot;ext4&quot;�C &quot;xfs&quot;�C &quot;ntfs&quot;. Implicitly inferred to be &quot;ext4&quot; if unspecified. More info: https://releases.k8s.io/HEAD/examples/mysql-cinder-pd/README.md
,,,,,readOnly,,,,,,,,,boolean, Optional: Defaults to false (read/write). ReadOnly here will force the ReadOnly setting in VolumeMounts. More info: https://releases.k8s.io/HEAD/examples/mysql-cinder-pd/README.md
,,,,,volumeID,,,,,,,,,string, volume id used to identify the volume in cinder More info: https://releases.k8s.io/HEAD/examples/mysql-cinder-pd/README.md
,,,,configMap,,,,,,,,,,v1.ConfigMapVolumeSource, ConfigMap represents a configMap that should populate this volume
,,,,,defaultMode,,,,,,,,,integer, Optional: mode bits to use on created files by default. Must be a value between 0 and 0777. Defaults to 0644. Directories within the path are not affected by this setting. This might be in conflict with other options that affect the file mode�C like fsGroup�C and the result can be other mode bits set.
,,,,,items,,,,,,,,,array, If unspecified�C each key-value pair in the Data field of the referenced ConfigMap will be projected into the volume as a file whose name is the key and content is the value. If specified�C the listed keys will be projected into the specified paths�C and unlisted keys will not be present. If a key is specified which is not present in the ConfigMap�C the volume setup will error unless it is marked optional. Paths must be relative and may not contain the &apos;..&apos; path or start with &apos;..&apos;.
,,,,,,key,,,,,,,,string, The key to project.
,,,,,,mode,,,,,,,,integer, Optional: mode bits to use on this file�C must be a value between 0 and 0777. If not specified�C the volume defaultMode will be used. This might be in conflict with other options that affect the file mode�C like fsGroup�C and the result can be other mode bits set.
,,,,,,path,,,,,,,,string, The relative path of the file to map the key to. May not be an absolute path. May not contain the path element &apos;..&apos;. May not start with the string &apos;..&apos;.
,,,,,name,,,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,,,,,optional,,,,,,,,,boolean, Specify whether the ConfigMap or it&apos;s keys must be defined
,,,,downwardAPI,,,,,,,,,,v1.DownwardAPIVolumeSource, DownwardAPI represents downward API about the pod that should populate this volume
,,,,,defaultMode,,,,,,,,,integer, Optional: mode bits to use on created files by default. Must be a value between 0 and 0777. Defaults to 0644. Directories within the path are not affected by this setting. This might be in conflict with other options that affect the file mode�C like fsGroup�C and the result can be other mode bits set.
,,,,,items,,,,,,,,,array, Items is a list of downward API volume file
,,,,,,fieldRef,,,,,,,,v1.ObjectFieldSelector, Required: Selects a field of the pod: only annotations�C labels�C name and namespace are supported.
,,,,,,,apiVersion,,,,,,,string, Version of the schema the FieldPath is written in terms of�C defaults to &quot;v1&quot;.
,,,,,,,fieldPath,,,,,,,string, Path of the field to select in the specified API version.
,,,,,,mode,,,,,,,,integer, Optional: mode bits to use on this file�C must be a value between 0 and 0777. If not specified�C the volume defaultMode will be used. This might be in conflict with other options that affect the file mode�C like fsGroup�C and the result can be other mode bits set.
,,,,,,path,,,,,,,,string, Required: Path is  the relative path name of the file to be created. Must not be absolute or contain the &apos;..&apos; path. Must be utf-8 encoded. The first item of the relative path must not start with &apos;..&apos;
,,,,,,resourceFieldRef,,,,,,,,v1.ResourceFieldSelector, Selects a resource of the container: only resources limits and requests (limits.cpu�C limits.memory�C requests.cpu and requests.memory) are currently supported.
,,,,,,,containerName,,,,,,,string, Container name: required for volumes�C optional for env vars
,,,,,,,divisor,,,,,,,resource.Quantity, Specifies the output format of the exposed resources�C defaults to &quot;1&quot;
,,,,,,,resource,,,,,,,string, Required: resource to select
,,,,emptyDir,,,,,,,,,,v1.EmptyDirVolumeSource, EmptyDir represents a temporary directory that shares a pod&apos;s lifetime. More info: https://kubernetes.io/docs/concepts/storage/volumes#emptydir
,,,,,medium,,,,,,,,,string, What type of storage medium should back this directory. The default is &quot;&quot; which means to use the node&apos;s default medium. Must be an empty string (default) or Memory. More info: https://kubernetes.io/docs/concepts/storage/volumes#emptydir
,,,,,sizeLimit,,,,,,,,,resource.Quantity, Total amount of local storage required for this EmptyDir volume. The size limit is also applicable for memory medium. The maximum usage on memory medium EmptyDir would be the minimum value between the SizeLimit specified here and the sum of memory limits of all containers in a pod. The default is nil which means that the limit is undefined. More info: http://kubernetes.io/docs/user-guide/volumes#emptydir
,,,,fc,,,,,,,,,,v1.FCVolumeSource, FC represents a Fibre Channel resource that is attached to a kubelet&apos;s host machine and then exposed to the pod.
,,,,,fsType,,,,,,,,,string, Filesystem type to mount. Must be a filesystem type supported by the host operating system. Ex. &quot;ext4&quot;�C &quot;xfs&quot;�C &quot;ntfs&quot;. Implicitly inferred to be &quot;ext4&quot; if unspecified.
,,,,,lun,,,,,,,,,integer, Optional: FC target lun number
,,,,,readOnly,,,,,,,,,boolean, Optional: Defaults to false (read/write). ReadOnly here will force the ReadOnly setting in VolumeMounts.
,,,,,targetWWNs,,,,,,,,,array, Optional: FC target worldwide names (WWNs)
,,,,,,[string],,,,,,,,string, 
,,,,,wwids,,,,,,,,,array, Optional: FC volume world wide identifiers (wwids) Either wwids or combination of targetWWNs and lun must be set�C but not both simultaneously.
,,,,,,[string],,,,,,,,string, 
,,,,flexVolume,,,,,,,,,,v1.FlexVolumeSource, FlexVolume represents a generic volume resource that is provisioned/attached using an exec based plugin.
,,,,,driver,,,,,,,,,string, Driver is the name of the driver to use for this volume.
,,,,,fsType,,,,,,,,,string, Filesystem type to mount. Must be a filesystem type supported by the host operating system. Ex. &quot;ext4&quot;�C &quot;xfs&quot;�C &quot;ntfs&quot;. The default filesystem depends on FlexVolume script.
,,,,,options,,,,,,,,,object, Optional: Extra command options if any.
,,,,,,[string],,,,,,,,string, 
,,,,,readOnly,,,,,,,,,boolean, Optional: Defaults to false (read/write). ReadOnly here will force the ReadOnly setting in VolumeMounts.
,,,,,secretRef,,,,,,,,,v1.LocalObjectReference, Optional: SecretRef is reference to the secret object containing sensitive information to pass to the plugin scripts. This may be empty if no secret object is specified. If the secret object contains more than one secret�C all secrets are passed to the plugin scripts.
,,,,,,name,,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,,,,flocker,,,,,,,,,,v1.FlockerVolumeSource, Flocker represents a Flocker volume attached to a kubelet&apos;s host machine. This depends on the Flocker control service being running
,,,,,datasetName,,,,,,,,,string, Name of the dataset stored as metadata -&gt; name on the dataset for Flocker should be considered as deprecated
,,,,,datasetUUID,,,,,,,,,string, UUID of the dataset. This is unique identifier of a Flocker dataset
,,,,gcePersistentDisk,,,,,,,,,,v1.GCEPersistentDiskVolumeSource, GCEPersistentDisk represents a GCE Disk resource that is attached to a kubelet&apos;s host machine and then exposed to the pod. More info: https://kubernetes.io/docs/concepts/storage/volumes#gcepersistentdisk
,,,,,fsType,,,,,,,,,string, Filesystem type of the volume that you want to mount. Tip: Ensure that the filesystem type is supported by the host operating system. Examples: &quot;ext4&quot;�C &quot;xfs&quot;�C &quot;ntfs&quot;. Implicitly inferred to be &quot;ext4&quot; if unspecified. More info: https://kubernetes.io/docs/concepts/storage/volumes#gcepersistentdisk
,,,,,partition,,,,,,,,,integer, The partition in the volume that you want to mount. If omitted�C the default is to mount by volume name. Examples: For volume /dev/sda1�C you specify the partition as &quot;1&quot;. Similarly�C the volume partition for /dev/sda is &quot;0&quot; (or you can leave the property empty). More info: https://kubernetes.io/docs/concepts/storage/volumes#gcepersistentdisk
,,,,,pdName,,,,,,,,,string, Unique name of the PD resource in GCE. Used to identify the disk in GCE. More info: https://kubernetes.io/docs/concepts/storage/volumes#gcepersistentdisk
,,,,,readOnly,,,,,,,,,boolean, ReadOnly here will force the ReadOnly setting in VolumeMounts. Defaults to false. More info: https://kubernetes.io/docs/concepts/storage/volumes#gcepersistentdisk
,,,,gitRepo,,,,,,,,,,v1.GitRepoVolumeSource, GitRepo represents a git repository at a particular revision.
,,,,,directory,,,,,,,,,string, Target directory name. Must not contain or start with &apos;..&apos;.  If &apos;.&apos; is supplied�C the volume directory will be the git repository.  Otherwise�C if specified�C the volume will contain the git repository in the subdirectory with the given name.
,,,,,repository,,,,,,,,,string, Repository URL
,,,,,revision,,,,,,,,,string, Commit hash for the specified revision.
,,,,glusterfs,,,,,,,,,,v1.GlusterfsVolumeSource, Glusterfs represents a Glusterfs mount on the host that shares a pod&apos;s lifetime. More info: https://releases.k8s.io/HEAD/examples/volumes/glusterfs/README.md
,,,,,endpoints,,,,,,,,,string, EndpointsName is the endpoint name that details Glusterfs topology. More info: https://releases.k8s.io/HEAD/examples/volumes/glusterfs/README.md#create-a-pod
,,,,,path,,,,,,,,,string, Path is the Glusterfs volume path. More info: https://releases.k8s.io/HEAD/examples/volumes/glusterfs/README.md#create-a-pod
,,,,,readOnly,,,,,,,,,boolean, ReadOnly here will force the Glusterfs volume to be mounted with read-only permissions. Defaults to false. More info: https://releases.k8s.io/HEAD/examples/volumes/glusterfs/README.md#create-a-pod
,,,,hostPath,,,,,,,,,,v1.HostPathVolumeSource, HostPath represents a pre-existing file or directory on the host machine that is directly exposed to the container. This is generally used for system agents or other privileged things that are allowed to see the host machine. Most containers will NOT need this. More info: https://kubernetes.io/docs/concepts/storage/volumes#hostpath
,,,,,path,,,,,,,,,string, Path of the directory on the host. If the path is a symlink�C it will follow the link to the real path. More info: https://kubernetes.io/docs/concepts/storage/volumes#hostpath
,,,,,type,,,,,,,,,string, Type for HostPath Volume Defaults to &quot;&quot; More info: https://kubernetes.io/docs/concepts/storage/volumes#hostpath
,,,,iscsi,,,,,,,,,,v1.ISCSIVolumeSource, ISCSI represents an ISCSI Disk resource that is attached to a kubelet&apos;s host machine and then exposed to the pod. More info: https://releases.k8s.io/HEAD/examples/volumes/iscsi/README.md
,,,,,chapAuthDiscovery,,,,,,,,,boolean, whether support iSCSI Discovery CHAP authentication
,,,,,chapAuthSession,,,,,,,,,boolean, whether support iSCSI Session CHAP authentication
,,,,,fsType,,,,,,,,,string, Filesystem type of the volume that you want to mount. Tip: Ensure that the filesystem type is supported by the host operating system. Examples: &quot;ext4&quot;�C &quot;xfs&quot;�C &quot;ntfs&quot;. Implicitly inferred to be &quot;ext4&quot; if unspecified. More info: https://kubernetes.io/docs/concepts/storage/volumes#iscsi
,,,,,initiatorName,,,,,,,,,string, Custom iSCSI Initiator Name. If initiatorName is specified with iscsiInterface simultaneously�C new iSCSI interface &lt;target portal&gt;:&lt;volume name&gt; will be created for the connection.
,,,,,iqn,,,,,,,,,string, Target iSCSI Qualified Name.
,,,,,iscsiInterface,,,,,,,,,string, iSCSI Interface Name that uses an iSCSI transport. Defaults to &apos;default&apos; (tcp).
,,,,,lun,,,,,,,,,integer, iSCSI Target Lun number.
,,,,,portals,,,,,,,,,array, iSCSI Target Portal List. The portal is either an IP or ip_addr:port if the port is other than default (typically TCP ports 860 and 3260).
,,,,,,[string],,,,,,,,string, 
,,,,,readOnly,,,,,,,,,boolean, ReadOnly here will force the ReadOnly setting in VolumeMounts. Defaults to false.
,,,,,secretRef,,,,,,,,,v1.LocalObjectReference, CHAP Secret for iSCSI target and initiator authentication
,,,,,,name,,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,,,,,targetPortal,,,,,,,,,string, iSCSI Target Portal. The Portal is either an IP or ip_addr:port if the port is other than default (typically TCP ports 860 and 3260).
,,,,name,,,,,,,,,,string, Volume&apos;s name. Must be a DNS_LABEL and unique within the pod. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,,,,nfs,,,,,,,,,,v1.NFSVolumeSource, NFS represents an NFS mount on the host that shares a pod&apos;s lifetime More info: https://kubernetes.io/docs/concepts/storage/volumes#nfs
,,,,,path,,,,,,,,,string, Path that is exported by the NFS server. More info: https://kubernetes.io/docs/concepts/storage/volumes#nfs
,,,,,readOnly,,,,,,,,,boolean, ReadOnly here will force the NFS export to be mounted with read-only permissions. Defaults to false. More info: https://kubernetes.io/docs/concepts/storage/volumes#nfs
,,,,,server,,,,,,,,,string, Server is the hostname or IP address of the NFS server. More info: https://kubernetes.io/docs/concepts/storage/volumes#nfs
,,,,persistentVolumeClaim,,,,,,,,,,v1.PersistentVolumeClaimVolumeSource, PersistentVolumeClaimVolumeSource represents a reference to a PersistentVolumeClaim in the same namespace. More info: https://kubernetes.io/docs/concepts/storage/persistent-volumes#persistentvolumeclaims
,,,,,claimName,,,,,,,,,string, ClaimName is the name of a PersistentVolumeClaim in the same namespace as the pod using this volume. More info: https://kubernetes.io/docs/concepts/storage/persistent-volumes#persistentvolumeclaims
,,,,,readOnly,,,,,,,,,boolean, Will force the ReadOnly setting in VolumeMounts. Default false.
,,,,photonPersistentDisk,,,,,,,,,,v1.PhotonPersistentDiskVolumeSource, PhotonPersistentDisk represents a PhotonController persistent disk attached and mounted on kubelets host machine
,,,,,fsType,,,,,,,,,string, Filesystem type to mount. Must be a filesystem type supported by the host operating system. Ex. &quot;ext4&quot;�C &quot;xfs&quot;�C &quot;ntfs&quot;. Implicitly inferred to be &quot;ext4&quot; if unspecified.
,,,,,pdID,,,,,,,,,string, ID that identifies Photon Controller persistent disk
,,,,portworxVolume,,,,,,,,,,v1.PortworxVolumeSource, PortworxVolume represents a portworx volume attached and mounted on kubelets host machine
,,,,,fsType,,,,,,,,,string, FSType represents the filesystem type to mount Must be a filesystem type supported by the host operating system. Ex. &quot;ext4&quot;�C &quot;xfs&quot;. Implicitly inferred to be &quot;ext4&quot; if unspecified.
,,,,,readOnly,,,,,,,,,boolean, Defaults to false (read/write). ReadOnly here will force the ReadOnly setting in VolumeMounts.
,,,,,volumeID,,,,,,,,,string, VolumeID uniquely identifies a Portworx volume
,,,,projected,,,,,,,,,,v1.ProjectedVolumeSource, Items for all in one resources secrets�C configmaps�C and downward API
,,,,,defaultMode,,,,,,,,,integer, Mode bits to use on created files by default. Must be a value between 0 and 0777. Directories within the path are not affected by this setting. This might be in conflict with other options that affect the file mode�C like fsGroup�C and the result can be other mode bits set.
,,,,,sources,,,,,,,,,array, list of volume projections
,,,,,,configMap,,,,,,,,v1.ConfigMapProjection, information about the configMap data to project
,,,,,,,items,,,,,,,array, If unspecified�C each key-value pair in the Data field of the referenced ConfigMap will be projected into the volume as a file whose name is the key and content is the value. If specified�C the listed keys will be projected into the specified paths�C and unlisted keys will not be present. If a key is specified which is not present in the ConfigMap�C the volume setup will error unless it is marked optional. Paths must be relative and may not contain the &apos;..&apos; path or start with &apos;..&apos;.
,,,,,,,,key,,,,,,string, The key to project.
,,,,,,,,mode,,,,,,integer, Optional: mode bits to use on this file�C must be a value between 0 and 0777. If not specified�C the volume defaultMode will be used. This might be in conflict with other options that affect the file mode�C like fsGroup�C and the result can be other mode bits set.
,,,,,,,,path,,,,,,string, The relative path of the file to map the key to. May not be an absolute path. May not contain the path element &apos;..&apos;. May not start with the string &apos;..&apos;.
,,,,,,,name,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,,,,,,,optional,,,,,,,boolean, Specify whether the ConfigMap or it&apos;s keys must be defined
,,,,,,downwardAPI,,,,,,,,v1.DownwardAPIProjection, information about the downwardAPI data to project
,,,,,,,items,,,,,,,array, Items is a list of DownwardAPIVolume file
,,,,,,,,fieldRef,,,,,,v1.ObjectFieldSelector, Required: Selects a field of the pod: only annotations�C labels�C name and namespace are supported.
,,,,,,,,,apiVersion,,,,,string, Version of the schema the FieldPath is written in terms of�C defaults to &quot;v1&quot;.
,,,,,,,,,fieldPath,,,,,string, Path of the field to select in the specified API version.
,,,,,,,,mode,,,,,,integer, Optional: mode bits to use on this file�C must be a value between 0 and 0777. If not specified�C the volume defaultMode will be used. This might be in conflict with other options that affect the file mode�C like fsGroup�C and the result can be other mode bits set.
,,,,,,,,path,,,,,,string, Required: Path is  the relative path name of the file to be created. Must not be absolute or contain the &apos;..&apos; path. Must be utf-8 encoded. The first item of the relative path must not start with &apos;..&apos;
,,,,,,,,resourceFieldRef,,,,,,v1.ResourceFieldSelector, Selects a resource of the container: only resources limits and requests (limits.cpu�C limits.memory�C requests.cpu and requests.memory) are currently supported.
,,,,,,,,,containerName,,,,,string, Container name: required for volumes�C optional for env vars
,,,,,,,,,divisor,,,,,resource.Quantity, Specifies the output format of the exposed resources�C defaults to &quot;1&quot;
,,,,,,,,,resource,,,,,string, Required: resource to select
,,,,,,secret,,,,,,,,v1.SecretProjection, information about the secret data to project
,,,,,,,items,,,,,,,array, If unspecified�C each key-value pair in the Data field of the referenced Secret will be projected into the volume as a file whose name is the key and content is the value. If specified�C the listed keys will be projected into the specified paths�C and unlisted keys will not be present. If a key is specified which is not present in the Secret�C the volume setup will error unless it is marked optional. Paths must be relative and may not contain the &apos;..&apos; path or start with &apos;..&apos;.
,,,,,,,,key,,,,,,string, The key to project.
,,,,,,,,mode,,,,,,integer, Optional: mode bits to use on this file�C must be a value between 0 and 0777. If not specified�C the volume defaultMode will be used. This might be in conflict with other options that affect the file mode�C like fsGroup�C and the result can be other mode bits set.
,,,,,,,,path,,,,,,string, The relative path of the file to map the key to. May not be an absolute path. May not contain the path element &apos;..&apos;. May not start with the string &apos;..&apos;.
,,,,,,,name,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,,,,,,,optional,,,,,,,boolean, Specify whether the Secret or its key must be defined
,,,,quobyte,,,,,,,,,,v1.QuobyteVolumeSource, Quobyte represents a Quobyte mount on the host that shares a pod&apos;s lifetime
,,,,,group,,,,,,,,,string, Group to map volume access to Default is no group
,,,,,readOnly,,,,,,,,,boolean, ReadOnly here will force the Quobyte volume to be mounted with read-only permissions. Defaults to false.
,,,,,registry,,,,,,,,,string, Registry represents a single or multiple Quobyte Registry services specified as a string as host:port pair (multiple entries are separated with commas) which acts as the central registry for volumes
,,,,,user,,,,,,,,,string, User to map volume access to Defaults to serivceaccount user
,,,,,volume,,,,,,,,,string, Volume is a string that references an already created Quobyte volume by name.
,,,,rbd,,,,,,,,,,v1.RBDVolumeSource, RBD represents a Rados Block Device mount on the host that shares a pod&apos;s lifetime. More info: https://releases.k8s.io/HEAD/examples/volumes/rbd/README.md
,,,,,fsType,,,,,,,,,string, Filesystem type of the volume that you want to mount. Tip: Ensure that the filesystem type is supported by the host operating system. Examples: &quot;ext4&quot;�C &quot;xfs&quot;�C &quot;ntfs&quot;. Implicitly inferred to be &quot;ext4&quot; if unspecified. More info: https://kubernetes.io/docs/concepts/storage/volumes#rbd
,,,,,image,,,,,,,,,string, The rados image name. More info: https://releases.k8s.io/HEAD/examples/volumes/rbd/README.md#how-to-use-it
,,,,,keyring,,,,,,,,,string, Keyring is the path to key ring for RBDUser. Default is /etc/ceph/keyring. More info: https://releases.k8s.io/HEAD/examples/volumes/rbd/README.md#how-to-use-it
,,,,,monitors,,,,,,,,,array, A collection of Ceph monitors. More info: https://releases.k8s.io/HEAD/examples/volumes/rbd/README.md#how-to-use-it
,,,,,,[string],,,,,,,,string, 
,,,,,pool,,,,,,,,,string, The rados pool name. Default is rbd. More info: https://releases.k8s.io/HEAD/examples/volumes/rbd/README.md#how-to-use-it
,,,,,readOnly,,,,,,,,,boolean, ReadOnly here will force the ReadOnly setting in VolumeMounts. Defaults to false. More info: https://releases.k8s.io/HEAD/examples/volumes/rbd/README.md#how-to-use-it
,,,,,secretRef,,,,,,,,,v1.LocalObjectReference, SecretRef is name of the authentication secret for RBDUser. If provided overrides keyring. Default is nil. More info: https://releases.k8s.io/HEAD/examples/volumes/rbd/README.md#how-to-use-it
,,,,,,name,,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,,,,,user,,,,,,,,,string, The rados user name. Default is admin. More info: https://releases.k8s.io/HEAD/examples/volumes/rbd/README.md#how-to-use-it
,,,,scaleIO,,,,,,,,,,v1.ScaleIOVolumeSource, ScaleIO represents a ScaleIO persistent volume attached and mounted on Kubernetes nodes.
,,,,,fsType,,,,,,,,,string, Filesystem type to mount. Must be a filesystem type supported by the host operating system. Ex. &quot;ext4&quot;�C &quot;xfs&quot;�C &quot;ntfs&quot;. Implicitly inferred to be &quot;ext4&quot; if unspecified.
,,,,,gateway,,,,,,,,,string, The host address of the ScaleIO API Gateway.
,,,,,protectionDomain,,,,,,,,,string, The name of the ScaleIO Protection Domain for the configured storage.
,,,,,readOnly,,,,,,,,,boolean, Defaults to false (read/write). ReadOnly here will force the ReadOnly setting in VolumeMounts.
,,,,,secretRef,,,,,,,,,v1.LocalObjectReference, SecretRef references to the secret for ScaleIO user and other sensitive information. If this is not provided�C Login operation will fail.
,,,,,,name,,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,,,,,sslEnabled,,,,,,,,,boolean, Flag to enable/disable SSL communication with Gateway�C default false
,,,,,storageMode,,,,,,,,,string, Indicates whether the storage for a volume should be ThickProvisioned or ThinProvisioned.
,,,,,storagePool,,,,,,,,,string, The ScaleIO Storage Pool associated with the protection domain.
,,,,,system,,,,,,,,,string, The name of the storage system as configured in ScaleIO.
,,,,,volumeName,,,,,,,,,string, The name of a volume already created in the ScaleIO system that is associated with this volume source.
,,,,secret,,,,,,,,,,v1.SecretVolumeSource, Secret represents a secret that should populate this volume. More info: https://kubernetes.io/docs/concepts/storage/volumes#secret
,,,,,defaultMode,,,,,,,,,integer, Optional: mode bits to use on created files by default. Must be a value between 0 and 0777. Defaults to 0644. Directories within the path are not affected by this setting. This might be in conflict with other options that affect the file mode�C like fsGroup�C and the result can be other mode bits set.
,,,,,items,,,,,,,,,array, If unspecified�C each key-value pair in the Data field of the referenced Secret will be projected into the volume as a file whose name is the key and content is the value. If specified�C the listed keys will be projected into the specified paths�C and unlisted keys will not be present. If a key is specified which is not present in the Secret�C the volume setup will error unless it is marked optional. Paths must be relative and may not contain the &apos;..&apos; path or start with &apos;..&apos;.
,,,,,,key,,,,,,,,string, The key to project.
,,,,,,mode,,,,,,,,integer, Optional: mode bits to use on this file�C must be a value between 0 and 0777. If not specified�C the volume defaultMode will be used. This might be in conflict with other options that affect the file mode�C like fsGroup�C and the result can be other mode bits set.
,,,,,,path,,,,,,,,string, The relative path of the file to map the key to. May not be an absolute path. May not contain the path element &apos;..&apos;. May not start with the string &apos;..&apos;.
,,,,,optional,,,,,,,,,boolean, Specify whether the Secret or it&apos;s keys must be defined
,,,,,secretName,,,,,,,,,string, Name of the secret in the pod&apos;s namespace to use. More info: https://kubernetes.io/docs/concepts/storage/volumes#secret
,,,,storageos,,,,,,,,,,v1.StorageOSVolumeSource, StorageOS represents a StorageOS volume attached and mounted on Kubernetes nodes.
,,,,,fsType,,,,,,,,,string, Filesystem type to mount. Must be a filesystem type supported by the host operating system. Ex. &quot;ext4&quot;�C &quot;xfs&quot;�C &quot;ntfs&quot;. Implicitly inferred to be &quot;ext4&quot; if unspecified.
,,,,,readOnly,,,,,,,,,boolean, Defaults to false (read/write). ReadOnly here will force the ReadOnly setting in VolumeMounts.
,,,,,secretRef,,,,,,,,,v1.LocalObjectReference, SecretRef specifies the secret to use for obtaining the StorageOS API credentials.  If not specified�C default values will be attempted.
,,,,,,name,,,,,,,,string, Name of the referent. More info: https://kubernetes.io/docs/concepts/overview/working-with-objects/names/#names
,,,,,volumeName,,,,,,,,,string, VolumeName is the human-readable name of the StorageOS volume.  Volume names are only unique within a namespace.
,,,,,volumeNamespace,,,,,,,,,string, VolumeNamespace specifies the scope of the volume within StorageOS.  If no namespace is specified then the Pod&apos;s namespace will be used.  This allows the Kubernetes name scoping to be mirrored within StorageOS for tighter integration. Set VolumeName to any name to override the default behaviour. Set to &quot;default&quot; if you are not using namespaces within StorageOS. Namespaces that do not pre-exist within StorageOS will be created.
,,,,vsphereVolume,,,,,,,,,,v1.VsphereVirtualDiskVolumeSource, VsphereVolume represents a vSphere volume attached and mounted on kubelets host machine
,,,,,fsType,,,,,,,,,string, Filesystem type to mount. Must be a filesystem type supported by the host operating system. Ex. &quot;ext4&quot;�C &quot;xfs&quot;�C &quot;ntfs&quot;. Implicitly inferred to be &quot;ext4&quot; if unspecified.
,,,,,storagePolicyID,,,,,,,,,string, Storage Policy Based Management (SPBM) profile ID associated with the StoragePolicyName.
,,,,,storagePolicyName,,,,,,,,,string, Storage Policy Based Management (SPBM) profile name.
,,,,,volumePath,,,,,,,,,string, Path that identifies vSphere volume vmdk
status,,,,,,,,,,,,,,v1.DeploymentStatus, Most recently observed status of the Deployment.
,availableReplicas,,,,,,,,,,,,,integer, Total number of available pods (ready for at least minReadySeconds) targeted by this deployment.
,collisionCount,,,,,,,,,,,,,integer, Count of hash collisions for the Deployment. The Deployment controller uses this field as a collision avoidance mechanism when it needs to create the name for the newest ReplicaSet.
,conditions,,,,,,,,,,,,,array, Represents the latest available observations of a deployment&apos;s current state.
,,lastTransitionTime,,,,,,,,,,,,v1.Time, Last time the condition transitioned from one status to another.
,,lastUpdateTime,,,,,,,,,,,,v1.Time, The last time this condition was updated.
,,message,,,,,,,,,,,,string, A human readable message indicating details about the transition.
,,reason,,,,,,,,,,,,string, The reason for the condition&apos;s last transition.
,,status,,,,,,,,,,,,string, Status of the condition�C one of True�C False�C Unknown.
,,type,,,,,,,,,,,,string, Type of deployment condition.
